Cluster	Sample_Count	Samples	Has_PopPIPE_Data
143	11	GCF_900597125_1_Thailand;GCF_900597135_1_Thailand;GCF_900597165_1_Thailand;GCF_900597105_1_Thailand;GCF_900597065_2_Thailand;GCA_900597065_2;GCF_900597115_1_Thailand;GCF_900597145_1_Thailand;GCF_900597155_1_Thailand;GCF_900597095_1_Thailand;GCF_900597185_1_Thailand	True
144	11	GCF_900595535_1_Thailand;GCF_900595525_1_Thailand;GCF_900595475_2_Thailand;GCF_900595495_1_Thailand;GCF_900595555_1_Thailand;GCF_900595505_1_Thailand;GCA_900595475_2;GCF_900595515_1_Thailand;GCF_900595545_1_Thailand;GCF_900595485_1_Thailand;GCF_900595565_1_Thailand	True
145	10	GCF_900596515_1_Thailand;GCF_900596495_1_Thailand;GCA_963565935_1;GCF_900598635_1_Thailand;GCF_900596535_1_Thailand;GCF_900596565_1_Thailand;GCF_900596545_1_Thailand;GCA_900596505_2;GCF_900596555_1_Thailand;GCF_900596505_2_Thailand	True
146	9	GCF_002921005_1_Malaysia;GCF_002920945_1_Malaysia;GCF_025000275_1_Malaysia_Pahang;GCF_002920995_1_Malaysia;GCF_002921015_1_Malaysia;GCF_001695715_1_Malaysia;GCF_025367655_1_Malaysia_Pahang;GCF_002921055_1_Malaysia;GCF_025290865_1_Malaysia_Pahang	True
147	9	GCA_963567495_1;GCF_900593075_1_Thailand;GCF_900591875_1_Thailand;GCA_963568915_1;GCF_900593015_1_Thailand;GCA_963562565_1;GCA_963566325_1;GCF_900592425_1_Thailand;GCF_900593215_1_Thailand	True
148	8	GCF_900597465_1_Thailand;GCF_900592815_1_Thailand;GCF_900597425_1_Thailand;GCF_900597405_1_Thailand;GCF_900597445_1_Thailand;GCF_900592565_1_Thailand;GCA_963565065_1;GCF_900594315_1_Thailand	True
149	8	GCF_900591475_1_Thailand;GCF_900592295_1_Thailand;GCA_900598495_2;GCF_900598535_1_Thailand;GCF_900598495_2_Thailand;GCF_900598555_1_Thailand;GCF_900593375_1_Thailand;GCF_900598505_1_Thailand	True
150	7	GCF_900598725_1_Thailand;GCF_900598735_1_Thailand;GCF_900598745_1_Thailand;GCF_900598755_1_Thailand;GCF_900598685_1_Thailand;GCF_900598675_1_Thailand;GCF_900598695_1_Thailand	True
151	7	GCF_027946755_1_Malaysia;GCF_001980585_2_Malaysia;GCF_001980605_1_Malaysia;GCF_001980655_1_Malaysia;GCF_028201395_1_Malaysia;GCF_001980675_1_Malaysia;GCF_000961535_1_Malaysia_Sarawak_Kapit_Hospital	True
152	7	GCA_963662065_1;GCA_963564355_1;GCF_001977675_1_Thailand_Ubon;GCF_900596205_1_Thailand;GCF_900596155_1_Thailand;GCA_963564155_1;GCF_900596115_1_Thailand	True
153	7	GCA_963567545_1;GCA_963568035_1;GCA_963567955_1;GCA_963573015_1;GCA_963563325_1;GCA_963564285_1;GCF_900591325_1_Thailand	True
154	7	GCA_963573105_1;GCA_963571165_1;GCA_963568995_1;GCA_963561035_1;GCA_963564115_1;GCA_963569875_1;GCA_963571135_1	True
155	7	GCF_900594025_1_Thailand;GCA_963561065_1;GCF_900597475_1_Thailand;GCA_963567685_1;GCA_900597385_2;GCF_001981055_1_Thailand;GCF_900597385_2_Thailand	True
156	6	GCF_001980385_1_Australia_Northern_Territory;GCF_001980425_1_Australia_Northern_Territory;GCF_001980465_1_Australia_Northern_Territory;GCF_001980485_1_Australia_Northern_Territory;GCF_001980435_1_Australia_Northern_Territory;GCF_001980395_1_Australia_Northern_Territory	True
157	6	GCF_001445955_1_missing;GCF_001978185_1_Australia_Northern_Territory;GCF_000770395_1_Australia;GCF_000774195_1_Australia;GCF_000770415_1_Australia;GCF_000774705_1_Australia	True
158	6	GCF_001887575_1_Australia;GCF_000756065_1_Australia;GCF_000714875_1_Australia;GCF_001887555_1_Australia;GCF_000452965_1_Australia;GCF_000755965_1_Australia	True
159	6	GCF_900592475_1_Thailand;GCA_963568585_1;GCF_900594255_1_Thailand;GCF_900593855_1_Thailand;GCF_000259775_1_Thailand;GCF_009793465_1_Viet_Nam	True
15_55	38	GCA_963567315_1;GCA_963564445_1;GCF_900592915_1_Thailand;GCA_963565585_1;GCA_963567735_1;GCA_963565235_1;GCA_963560745_1;GCA_963568215_1;GCF_001980895_1_Thailand;GCA_963564695_1;GCF_001977605_1_Thailand_Ubon;GCA_963572625_1;GCA_963564725_1;GCA_963569565_1;GCA_963568855_1;GCA_963570765_1;GCA_963561685_1;GCA_963560935_1;GCA_963564775_1;GCA_963570935_1;GCA_963562885_1;GCA_963566395_1;GCA_963568545_1;GCA_963563395_1;GCF_900594385_1_Thailand;GCA_963567485_1;GCA_963563105_1;GCA_963564735_1;GCA_963567775_1;GCF_900592065_1_Thailand;GCA_963564745_1;GCA_963572955_1;GCA_963573165_1;GCA_963567705_1;GCA_963568565_1;GCF_003798265_1_Thailand_Ubon_Ratchathani;GCA_963561795_1;GCF_001977565_1_Thailand_Ubon	True
16	74	IP-0032;IP-0170;IP-0164;IP-0123;GCA_963569775_1;GCA_963570725_1;GCF_000959125_1_Thailand;GCF_900594105_1_Thailand;GCA_963565595_1;GCA_963566905_1;GCA_963573215_1;GCF_900591235_1_Thailand;GCF_900591975_1_Thailand;GCF_900594355_1_Thailand;GCF_900595235_1_Thailand;GCA_963569665_1;GCA_963567445_1;GCA_963570195_1;GCF_004123025_1_not_applicable;GCF_900592445_1_Thailand;GCF_900591675_1_Thailand;GCA_963561745_1;GCF_900594175_1_Thailand;GCF_900598645_1_Thailand;GCA_963571575_1;SRR12527864-SPAdes;GCF_900592195_1_Thailand;GCA_963560285_1;GCA_963563985_1;GCA_963565305_1;GCA_963570255_1;GCF_900594135_1_Thailand;GCF_900592885_1_Thailand;GCA_963568615_1;GCA_963562705_1;GCA_963571735_1;GCF_900592215_1_Thailand;GCF_900598665_1_Thailand;GCA_963566015_1;GCA_963565615_1;GCA_963569985_1;GCA_963570605_1;GCF_900598605_1_Thailand;GCF_900593405_1_Thailand;GCA_963571375_1;GCA_963565155_1;GCA_963569615_1;GCA_963570895_1;GCA_963566665_1;GCA_963565685_1;GCF_900593135_1_Thailand;GCA_963572935_1;GCA_963562455_1;GCA_963568195_1;GCA_963565475_1;GCA_963565805_1;GCA_963569175_1;GCA_963563515_1;GCF_900592775_1_Thailand;GCA_963567835_1;GCF_900591835_1_Thailand;GCF_900593765_1_Thailand;GCF_900598615_1_Thailand;GCA_963561395_1;GCA_963571405_1;GCF_000260515_1_Thailand;GCA_963566065_1;GCA_963573185_1;GCF_900594005_1_Thailand;GCF_000259735_1_Thailand;GCA_963567595_1;GCF_000756085_1_Thailand;GCF_900592585_1_Thailand;GCA_963567625_1	True
160	6	GCF_900592205_1_Thailand;GCA_963567415_1;GCA_963564415_1;GCA_963565665_1;GCF_900594055_1_Thailand;GCA_963567355_1	True
161	6	GCF_900597045_2_Thailand;GCA_900597045_2;GCF_900596945_1_Thailand;GCF_900596925_2_Thailand;GCA_900596925_2;GCF_900596985_1_Thailand	True
162	6	GCA_900596185_2;GCF_900596185_2_Thailand;GCF_900596295_1_Thailand;GCF_900596235_1_Thailand;GCF_900596265_1_Thailand;GCF_900596215_1_Thailand	True
17	8	GCF_014713065_1_Laos;GCF_014712965_1_Laos;GCF_014712955_1_Laos;GCF_014713025_1_Laos;SRR11097774-SPAdes;SRR11097777-SPAdes;SRR11097778-SPAdes;SRR11097773-SPAdes	True
18	7	GCF_014712935_1_Laos;GCF_014712825_1_Laos;GCF_014712875_1_Laos;GCF_014712915_1_Laos;SRR11097781-SPAdes;SRR11097782-SPAdes;SRR11097772-SPAdes	True
19	47	IP-0073;GCA_963568055_1;GCA_963568885_1;IE-0016;GCA_963565175_1;GCA_963563555_1;GCA_963567205_1;GCF_001978055_1_Thailand_Ubon;GCA_963565135_1;GCA_963570835_1;GCA_963564955_1;GCA_963569605_1;GCF_900596955_1_Thailand;GCF_001977285_1_Thailand_Ubon;GCA_963567425_1;GCA_963567885_1;GCA_963566705_1;GCA_963566985_1;GCF_900592315_1_Thailand;GCA_963566115_1;GCF_900593745_1_Thailand;GCA_963565625_1;GCA_963562405_1;GCA_963564835_1;GCF_900592005_1_Thailand;GCF_900592115_1_Thailand;GCF_900594235_1_Thailand;GCA_963570395_1;GCA_963564545_1;GCF_900592405_1_Thailand;GCF_900595765_1_Thailand;GCA_963566615_1;GCA_963569495_1;GCF_900595825_1_Thailand;GCF_900593695_1_Thailand;GCA_963569435_1;GCF_001977265_1_Thailand_Ubon;GCF_900594345_1_Thailand;GCF_900598655_1_Thailand;GCA_963564395_1;GCF_900596965_1_Thailand;GCF_900592705_1_Thailand;GCF_900591825_1_Thailand;GCA_963571175_1;GCF_900592155_1_Thailand;GCF_900593945_1_Thailand;GCA_963566035_1	True
